% Filename : LM_Couette_R0500_100PI_mean_prof.dat 
% 
% Description : Profiles of the mean velocity and pressure 
% 
% Total number of data points  : 128
% 
% 
% 
% 
% The data in this file was extracted from a direct numerical simulation 
% of fully developed plane turbulent Couette flow. The file is available at 
% http://turbulence.ices.utexas.edu, where it will be updated as necessary. 
% 
% When publishing results using this data, the following paper should be 
% cited as the source:  
% 
%    Myoungkyu Lee and Robert D. Moser,  
%    Extreme-scale motions in turbulent plane Couette flows, 
%    2018, Journal of Fluid Mechanics, vol. 842, pp. 128-145 
% 
% The paper can be found at http://doi.org/10.1017/jfm.2018.131 
% 
% NOTE: before publication, please check 
% http://turbulence.ices.utexas.edu for any updates to the data and an 
% updated citation 
% 
% 
% Contact to Robert D. Moser(rmoser@ices.utexas.edu) or M.K. Lee(mnlee@sandia.gov) for questions.
% 
% 
% The parameters defining the simulation from which this data were extracted are: 
% 
%  Grid (streamwise)       nx = 15360 
%  Grid (wall-normal)      ny = 256 
%  Grid (spanwise)         nz = 1536 
%  Streamwise domain size  Lx = 100pi 
%  Spanwise domain size    Lz = 5pi 
%  B-Spline order           n = 7 
%  Kinematic Viscosity     nu = 1.00000e-04 
%  channel half width   delta = 1.000 
%  Velocity at wall    U_mean = (+/-) 1.000 
%  Friction vel         u_tau = 5.01370e-02 
%  Re_tau              Re_tau =  501.370 
% 
% 
% All data are normalized by u_tau and nu (signified with a ^+) except 
% for y/delta 
% 
% This file was last updated on 3/7/2018.
% 
% 
% 
% Remark: 
% 
%      y/delta : Grid point in wall-normal direction, Normalized by channel half width 
%      y^+     : Grid point in wall-normal direction 
%      U       : Mean profile of streamwise velocity 
%    dU/dy     : Derivative of U in wall-normal direction 
%      W       : Mean profile of spanwise velocity 
%      P       : Mean profile of pressure 
% 
% *   Estimated standard deviations of datasets in this file are in the file: LM_Couette_R0500_100PI_mean_stdev.dat 
% 
% **  Data at y/delta = 1.0 is not computed due to code performance optimization 
% 
% *** W should be zero due to (statistical) symmetries in the flow. 
%     It is reported here none-the-less as an indicator of the quality of the statistics.  
% 
% -----------End of header--------- 
% 
%         y/delta                    y^+                       U                      dU/dy                      W                        P           
%-----------------------------------------------------------------------------------------------------------------------------------------------------
    0.000000000000000e+00    0.000000000000000e+00    0.000000000000000e+00    9.999999999999999e-01    0.000000000000000e+00    0.000000000000000e+00
    1.137017775942883e-05    5.700667374353908e-03    5.700667374090392e-03    9.999999997862073e-01    1.184998689718836e-07   -1.976570809667663e-13
    5.684907886405188e-05    2.850242942539999e-02    2.850242924016876e-02    9.999999739890428e-01    5.924804003399991e-07   -1.226253934021451e-10
    1.591698193881275e-04    7.980299126064701e-02    7.980297981882720e-02    9.999994255115182e-01    1.658864437021889e-06   -7.413167252552353e-09
    3.410564671805227e-04    1.709955214777642e-01    1.709952785160244e-01    9.999942975268874e-01    3.554473129813409e-06   -1.517572019358628e-07
    6.252204245906778e-04    3.134668385714681e-01    3.134640643037451e-01    9.999643876741872e-01    6.515986591359469e-06   -1.637288221796063e-06
    1.034356813211845e-03    5.185955983518106e-01    5.185745003065568e-01    9.998357825396431e-01    1.078002684041738e-05   -1.148854802096127e-05
    1.591140861214257e-03    7.977504826609803e-01    7.976301630823366e-01    9.993894437532079e-01    1.658398071697500e-05   -5.890645929651460e-05
    2.306854116087109e-03    1.156587722304212e+00    1.156045866259443e+00    9.981010875244072e-01    2.405115107455363e-05   -2.327890922453463e-04
    3.181382648813180e-03    1.595050196676604e+00    1.593058210497710e+00    9.949495042117652e-01    3.320129780780218e-05   -7.367313507956807e-04
    4.214587249764312e-03    2.113068110230344e+00    2.106879044201531e+00    9.882464698324001e-01    4.409010266388957e-05   -1.945386926480750e-03
    5.406303450860905e-03    2.710559003584820e+00    2.693859009447941e+00    9.756431836500294e-01    5.683471934149258e-05   -4.434365873319086e-03
    6.756341551752310e-03    3.387427766652685e+00    3.347489984376931e+00    9.544587420427445e-01    7.162032081238457e-05   -8.963558680632965e-03
    8.264486650013891e-03    4.143566653779763e+00    4.057583857995314e+00    9.223411038527602e-01    8.865522532214909e-05   -1.641331528383795e-02
    9.930498675355670e-03    4.978855300896238e+00    4.810069321208002e+00    8.780448396141768e-01    1.080650095539200e-04   -2.769215022065672e-02
    1.175411242783730e-02    5.893160744676510e+00    5.587707988342272e+00    8.219764075182242e-01    1.297677167972407e-04   -4.364162087261680e-02
